seed_value,condition_label,method_family,corruption_fraction,confidence,n_reference_forbidden_edges,mean_abs_w_reference_forbidden_edges,fraction_reference_forbidden_above_threshold,mean_abs_w_reference_non_targeted_edges,edge_count_from_thresholded_adjacency,sid,shd,mmd
501,prior_free,prior_free,,,10,0.11868272635218347,0.2,0.08216082653644301,11,78.0,28.0,0.16619515131854726
501,matched_l1,matched_l1,,,10,0.11868272635218347,0.2,0.08216082653644301,11,78.0,28.0,0.16619515131854726
501,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.05545347573312156,0.0,0.0797172779025987,8,69.0,25.0,0.1633849206648535
501,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.08518698253507523,8,65.0,19.0,0.15035786114758856
502,prior_free,prior_free,,,10,0.07816415241558684,0.1,0.09737804529579461,12,50.0,15.0,0.11286900258444439
502,matched_l1,matched_l1,,,10,0.07816415241558684,0.1,0.09737804529579461,12,50.0,15.0,0.11286900258444439
502,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.03564175207037754,0.1,0.10121554683806855,13,50.0,16.0,0.11138171682121956
502,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.10712683315059694,12,38.0,13.0,0.0774803549167116
503,prior_free,prior_free,,,10,0.0008293146061125129,0.0,0.1079070171009078,13,79.0,23.0,0.10221424980492717
503,matched_l1,matched_l1,,,10,0.0008293146061125129,0.0,0.1079070171009078,13,79.0,23.0,0.10221424980492717
503,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.000798175146700514,0.0,0.10791718600577986,13,79.0,23.0,0.1022156364339069
503,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.11014189264336767,12,79.0,24.0,0.09602176730477484
504,prior_free,prior_free,,,10,0.00014444745600932266,0.0,0.0920648035348837,9,44.0,13.0,0.09487994554137902
504,matched_l1,matched_l1,,,10,0.00014444745600932266,0.0,0.0920648035348837,9,44.0,13.0,0.09487994554137902
504,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.00015842140845920147,0.0,0.09207032757248312,9,44.0,13.0,0.09488354694254546
504,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.0920855603241828,9,44.0,13.0,0.09487942594593772
505,prior_free,prior_free,,,10,0.06898853544084049,0.0,0.10171138632220664,11,79.0,22.0,0.11558979414323323
505,matched_l1,matched_l1,,,10,0.06898853544084049,0.0,0.10171138632220664,11,79.0,22.0,0.11558979414323323
505,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.03994692443131108,0.0,0.10002451739920482,12,83.0,23.0,0.11542884512267163
505,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.1038178512657999,12,84.0,25.0,0.12765307718815505
506,prior_free,prior_free,,,10,0.035844876430862496,0.1,0.0835448666519413,9,74.0,21.0,0.13784229997022548
506,matched_l1,matched_l1,,,10,0.035844876430862496,0.1,0.0835448666519413,9,74.0,21.0,0.13784229997022548
506,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.021213044852404918,0.0,0.08475505340796977,8,74.0,20.0,0.13793391018679946
506,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.08713697187899175,8,74.0,20.0,0.13793323612780944
507,prior_free,prior_free,,,10,0.03545342139844794,0.1,0.103086093699438,14,56.0,24.0,0.1162049988136947
507,matched_l1,matched_l1,,,10,0.03545342139844794,0.1,0.103086093699438,14,56.0,24.0,0.1162049988136947
507,soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,10,0.0051908074905161845,0.0,0.10696823025007503,13,56.0,23.0,0.115910000507688
507,hard_exclusion_clean,hard_exclusion,0.0,,10,0.0,0.0,0.10766578741886208,13,56.0,23.0,0.11588995321876934
